=== Información de circuitos ejecutados ===
Circuito: e0_b0_t101.py | Registros clásicos: c600 - c605 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t103.py | Registros clásicos: c606 - c611 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t105.py | Registros clásicos: c612 - c617 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t100.py | Registros clásicos: c618 - c623 | Iteración: 1 | Batch: 4
Circuito: e0_b0_t102.py | Registros clásicos: c624 - c629 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t104.py | Registros clásicos: c630 - c635 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t107.py | Registros clásicos: c636 - c641 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t106.py | Registros clásicos: c642 - c647 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t109.py | Registros clásicos: c648 - c653 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t108.py | Registros clásicos: c654 - c659 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t111.py | Registros clásicos: c660 - c665 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t113.py | Registros clásicos: c666 - c671 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t110.py | Registros clásicos: c672 - c677 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t115.py | Registros clásicos: c678 - c683 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t112.py | Registros clásicos: c684 - c689 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t117.py | Registros clásicos: c690 - c695 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t114.py | Registros clásicos: c696 - c701 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t116.py | Registros clásicos: c702 - c707 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t118.py | Registros clásicos: c708 - c713 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t119.py | Registros clásicos: c714 - c719 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t121.py | Registros clásicos: c720 - c725 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t120.py | Registros clásicos: c726 - c731 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t123.py | Registros clásicos: c732 - c737 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t122.py | Registros clásicos: c738 - c743 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t125.py | Registros clásicos: c744 - c749 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t127.py | Registros clásicos: c750 - c755 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t129.py | Registros clásicos: c756 - c761 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t124.py | Registros clásicos: c762 - c767 | Iteración: 1 | Batch: 5
